GlobalId,UUID,layer_index,layer_name,area_m2,volume_m3,co2_total
2O2Fr$t4X7Zf8NOew3FKau,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,4,layer_4,11.33,0.567,-84.409
2O2Fr$t4X7Zf8NOew3FNbT,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,4,layer_4,11.161,0.558,-83.151
2O2Fr$t4X7Zf8NOew3FKRi,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,4,layer_4,11.083,0.554,-82.569
2O2Fr$t4X7Zf8NOew3FKRH,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,4,layer_4,1.21,0.061,-9.015
2O2Fr$t4X7Zf8NOew3FNld,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,0.54,0.05,0.0
2O2Fr$t4X7Zf8NOew3FKIu,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,0.181,0.017,0.0
2O2Fr$t4X7Zf8NOew3FKGS,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,10.024,0.922,0.0
2O2Fr$t4X7Zf8NOew3FLKI,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,0.412,0.038,0.0
2O2Fr$t4X7Zf8NOew3FLEJ,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,0.412,0.038,0.0
2O2Fr$t4X7Zf8NOew3FKST,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,0.362,0.033,0.0
2O2Fr$t4X7Zf8NOew3FNau,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,0.501,0.046,0.0
2O2Fr$t4X7Zf8NOew3FLTF,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,0.493,0.045,0.0
2O2Fr$t4X7Zf8NOew3FL8v,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,5.815,0.535,0.0
2O2Fr$t4X7Zf8NOew3FLJd,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,0.434,0.04,0.0
2O2Fr$t4X7Zf8NOew3FL96,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,0.432,0.04,0.0
2O2Fr$t4X7Zf8NOew3FLIE,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,0.673,0.062,0.0
2O2Fr$t4X7Zf8NOew3FL9r,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,0.762,0.07,0.0
0iEHWY1$XA8eQeeULq4jpl,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,4.034,0.371,0.0
1aj$VJZFn2TxepZUBcKpvt,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,3.668,0.337,0.0
1aj$VJZFn2TxepZUBcKpZw,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,0.189,0.017,0.0
1aj$VJZFn2TxepZUBcKpee,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,0.435,0.04,0.0
1aj$VJZFn2TxepZUBcKphf,d6d0c261-6e76-4de9-9da5-e9465597c120,2,layer_2,0.431,0.04,0.0
2O2Fr$t4X7Zf8NOew3FK80,b66eed7c-c924-4c6a-b906-f2cd08189451,1,layer_1,9.954,4.151,1355.845
2O2Fr$t4X7Zf8NOew3FK9N,b66eed7c-c924-4c6a-b906-f2cd08189451,1,layer_1,7.263,3.029,989.283
2O2Fr$t4X7Zf8NOew3FKEr,b66eed7c-c924-4c6a-b906-f2cd08189451,1,layer_1,10.657,4.444,1451.601
2O2Fr$t4X7Zf8NOew3FKE5,b66eed7c-c924-4c6a-b906-f2cd08189451,1,layer_1,21.568,8.994,2937.835
2O2Fr$t4X7Zf8NOew3FK3E,b66eed7c-c924-4c6a-b906-f2cd08189451,1,layer_1,5.353,2.329,760.676
2O2Fr$t4X7Zf8NOew3FK04,b66eed7c-c924-4c6a-b906-f2cd08189451,1,layer_1,1.887,0.821,268.178
2O2Fr$t4X7Zf8NOew3FK1b,b66eed7c-c924-4c6a-b906-f2cd08189451,1,layer_1,2.126,0.925,302.032
2O2Fr$t4X7Zf8NOew3FLMr,dc0557ec-f724-4b61-b25d-38665cbad37b,2,layer_2,0.298,0.045,5.074
2O2Fr$t4X7Zf8NOew3FLCm,dc0557ec-f724-4b61-b25d-38665cbad37b,2,layer_2,0.298,0.045,5.074
2O2Fr$t4X7Zf8NOew3FNqI,8f5e6791-c6b0-4880-8d32-a6e36ea30c0c,1,layer_1,7.362,0.677,175.818
2O2Fr$t4X7Zf8NOew3FNhv,8f5e6791-c6b0-4880-8d32-a6e36ea30c0c,1,layer_1,7.182,0.661,171.521
2O2Fr$t4X7Zf8NOew3FLQD,8f5e6791-c6b0-4880-8d32-a6e36ea30c0c,1,layer_1,4.51,0.415,107.712
2O2Fr$t4X7Zf8NOew3FLOH,8f5e6791-c6b0-4880-8d32-a6e36ea30c0c,1,layer_1,8.74,0.804,208.711
2O2Fr$t4X7Zf8NOew3FNtn,8f5e6791-c6b0-4880-8d32-a6e36ea30c0c,1,layer_1,3.882,0.357,92.717
2O2Fr$t4X7Zf8NOew3FNr2,8f5e6791-c6b0-4880-8d32-a6e36ea30c0c,1,layer_1,3.724,0.343,88.938
2O2Fr$t4X7Zf8NOew3FLR9,8f5e6791-c6b0-4880-8d32-a6e36ea30c0c,1,layer_1,13.283,1.222,317.223
2O2Fr$t4X7Zf8NOew3FLPP,8f5e6791-c6b0-4880-8d32-a6e36ea30c0c,1,layer_1,7.349,0.676,175.496
0jf0rYHfX3RAB3bSIRjmmy,8f5e6791-c6b0-4880-8d32-a6e36ea30c0c,1,layer_1,6.124,0.563,146.25
0jf0rYHfX3RAB3bSIRjmpw,8f5e6791-c6b0-4880-8d32-a6e36ea30c0c,1,layer_1,12.097,1.113,288.894
0jf0rYHfX3RAB3bSIRjmoa,8f5e6791-c6b0-4880-8d32-a6e36ea30c0c,1,layer_1,3.503,0.322,83.647
0jf0rYHfX3RAB3bSIRjmr1,8f5e6791-c6b0-4880-8d32-a6e36ea30c0c,1,layer_1,11.807,1.086,281.963
2O2Fr$t4X7Zf8NOew3FNqI,379a32f5-ccdc-4d9c-ad49-bc5d906fd9cd,2,layer_2,7.363,0.184,6.015
2O2Fr$t4X7Zf8NOew3FNhv,379a32f5-ccdc-4d9c-ad49-bc5d906fd9cd,2,layer_2,7.182,0.18,5.868
2O2Fr$t4X7Zf8NOew3FLQD,379a32f5-ccdc-4d9c-ad49-bc5d906fd9cd,2,layer_2,22.911,0.573,18.718
2O2Fr$t4X7Zf8NOew3FLOH,379a32f5-ccdc-4d9c-ad49-bc5d906fd9cd,2,layer_2,3.907,0.098,3.192
2O2Fr$t4X7Zf8NOew3FNtn,379a32f5-ccdc-4d9c-ad49-bc5d906fd9cd,2,layer_2,3.889,0.097,3.177
2O2Fr$t4X7Zf8NOew3FNr2,379a32f5-ccdc-4d9c-ad49-bc5d906fd9cd,2,layer_2,3.724,0.093,3.043
2O2Fr$t4X7Zf8NOew3FLR9,379a32f5-ccdc-4d9c-ad49-bc5d906fd9cd,2,layer_2,17.636,0.441,14.409
2O2Fr$t4X7Zf8NOew3FLPP,379a32f5-ccdc-4d9c-ad49-bc5d906fd9cd,2,layer_2,7.481,0.187,6.112
0jf0rYHfX3RAB3bSIRjmmy,379a32f5-ccdc-4d9c-ad49-bc5d906fd9cd,2,layer_2,6.124,0.153,5.003
0jf0rYHfX3RAB3bSIRjmpw,379a32f5-ccdc-4d9c-ad49-bc5d906fd9cd,2,layer_2,10.768,0.269,8.798
0jf0rYHfX3RAB3bSIRjmoa,379a32f5-ccdc-4d9c-ad49-bc5d906fd9cd,2,layer_2,3.503,0.088,2.862
0jf0rYHfX3RAB3bSIRjmr1,379a32f5-ccdc-4d9c-ad49-bc5d906fd9cd,2,layer_2,11.807,0.295,9.646
2O2Fr$t4X7Zf8NOew3FNqI,ad750582-1987-46da-ac51-b309afa38169,3,layer_3,7.363,0.368,133.861
2O2Fr$t4X7Zf8NOew3FNhv,ad750582-1987-46da-ac51-b309afa38169,3,layer_3,7.115,0.356,129.354
2O2Fr$t4X7Zf8NOew3FLQD,ad750582-1987-46da-ac51-b309afa38169,3,layer_3,3.686,0.184,67.02
2O2Fr$t4X7Zf8NOew3FLOH,ad750582-1987-46da-ac51-b309afa38169,3,layer_3,3.618,0.181,65.785
2O2Fr$t4X7Zf8NOew3FNtn,ad750582-1987-46da-ac51-b309afa38169,3,layer_3,3.89,0.195,70.732
2O2Fr$t4X7Zf8NOew3FNr2,ad750582-1987-46da-ac51-b309afa38169,3,layer_3,3.717,0.186,67.573
2O2Fr$t4X7Zf8NOew3FLR9,ad750582-1987-46da-ac51-b309afa38169,3,layer_3,7.349,0.367,133.607
2O2Fr$t4X7Zf8NOew3FLPP,ad750582-1987-46da-ac51-b309afa38169,3,layer_3,7.349,0.367,133.609
0jf0rYHfX3RAB3bSIRjmmy,ad750582-1987-46da-ac51-b309afa38169,3,layer_3,3.676,0.184,66.837
0jf0rYHfX3RAB3bSIRjmpw,ad750582-1987-46da-ac51-b309afa38169,3,layer_3,7.252,0.363,131.85
0jf0rYHfX3RAB3bSIRjmoa,ad750582-1987-46da-ac51-b309afa38169,3,layer_3,3.503,0.175,63.681
0jf0rYHfX3RAB3bSIRjmr1,ad750582-1987-46da-ac51-b309afa38169,3,layer_3,11.807,0.59,214.661
0iEHWY1$XA8eQeeULq4jZ1,b14a6f65-b3b8-4fc8-9259-33e33501f407,1,layer_1,12.083,1.643,1025.555
0iEHWY1$XA8eQeeULq4j_U,b14a6f65-b3b8-4fc8-9259-33e33501f407,1,layer_1,6.619,0.9,561.822
0iEHWY1$XA8eQeeULq4jDb,b14a6f65-b3b8-4fc8-9259-33e33501f407,1,layer_1,6.424,0.874,545.232
0iEHWY1$XA8eQeeULq4jE6,b14a6f65-b3b8-4fc8-9259-33e33501f407,1,layer_1,11.662,1.586,989.789
0dxE1Sy6nDqfpDb5vIMNiA,b14a6f65-b3b8-4fc8-9259-33e33501f407,1,layer_1,0.745,0.101,63.253
0dxE1Sy6nDqfpDb5vIMN_Z,b14a6f65-b3b8-4fc8-9259-33e33501f407,1,layer_1,0.632,0.086,53.668
3Y4YRln2r91vflHcHE5IVS,dc0557ec-f724-4b61-b25d-38665cbad37b,1,layer_1,0.06,0.002,1.023
3Y4YRln2r91vflHcHE5IVT,dc0557ec-f724-4b61-b25d-38665cbad37b,1,layer_1,0.063,0.002,1.069
3Y4YRln2r91vflHcHE5IVI,dc0557ec-f724-4b61-b25d-38665cbad37b,1,layer_1,0.06,0.002,1.023
3Y4YRln2r91vflHcHE5IVJ,dc0557ec-f724-4b61-b25d-38665cbad37b,1,layer_1,0.063,0.002,1.069
3Y4YRln2r91vflHcHE5ITp,dc0557ec-f724-4b61-b25d-38665cbad37b,1,layer_1,0.06,0.002,1.023
3Y4YRln2r91vflHcHE5ITm,dc0557ec-f724-4b61-b25d-38665cbad37b,1,layer_1,0.328,0.012,5.581
3Y4YRln2r91vflHcHE5ITn,dc0557ec-f724-4b61-b25d-38665cbad37b,1,layer_1,0.293,0.011,4.99
3Y4YRln2r91vflHcHE5ITs,dc0557ec-f724-4b61-b25d-38665cbad37b,1,layer_1,0.063,0.002,1.069
